cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
purC	Cluster_139	1	139	1	FM211187.160	comB__purC	purC__phosphoribosylformylglycinamidine_synthase_protein	CDS		purC		phosphoribosylaminoimidazole-succinocarboxamide synthase		phosphoribosylaminoimidazole-succinocarboxamide_sy	phosphoribosylaminoimidazole-succinocarboxamide synthase				FM211187.160
purC__phosphoribosylformylglycinamidine_synthase_protein	Cluster_140	1	140	1	FM211187.160__FM211187.164	purC	phosphoribosylformylglycinamidine_synthase_protein	unannotated											FM211187.160__FM211187.164
phosphoribosylformylglycinamidine_synthase_protein	Cluster_141	1	141	1	FM211187.164	purC__phosphoribosylformylglycinamidine_synthase_protein	phosphoribosylformylglycinamidine_synthase_protein__purF	CDS				putative phosphoribosylformylglycinamidine synthase protein		phosphoribosylformylglycinamidine_synthase_protein	putative phosphoribosylformylglycinamidine synthase protein				FM211187.164
phosphoribosylformylglycinamidine_synthase_protein__purF	Cluster_142	1	142	1	FM211187.164__FM211187.168	phosphoribosylformylglycinamidine_synthase_protein	purF	unannotated											FM211187.164__FM211187.168
purF	Cluster_143	1	143	1	FM211187.168	phosphoribosylformylglycinamidine_synthase_protein__purF	purF__purM	CDS		purF		putative amidophosphoribosyltransferase precursor		amidophosphoribosyltransferase_precursor	putative amidophosphoribosyltransferase precursor				FM211187.168
purF__purM	Cluster_144	1	144	1	FM211187.168__FM211187.173	purF	purM	unannotated											FM211187.168__FM211187.173
purM	Cluster_145	1	145	1	FM211187.173	purF__purM	purN	CDS		purM		phosphoribosylformylglycinamidine cyclo-ligase		phosphoribosylformylglycinamidine_cyclo-ligase	phosphoribosylformylglycinamidine cyclo-ligase				FM211187.173
purN	Cluster_146	1	146	1	FM211187.176	purM	purN__vanZ	CDS		purN		phosphoribosylglycinamide formyltransferase		phosphoribosylglycinamide_formyltransferase	phosphoribosylglycinamide formyltransferase				FM211187.176
purN__vanZ	Cluster_147	1	147	1	FM211187.176__FM211187.178	purN	vanZ	unannotated											FM211187.176__FM211187.178
vanZ	Cluster_148	1	148	1	FM211187.178	purN__vanZ	vanZ__purH	CDS		vanZ		putative VanZ-family resistance protein		VanZ-family_resistance_protein	putative VanZ-family resistance protein				FM211187.178
vanZ__purH	Cluster_149	1	149	1	FM211187.178__FM211187.182	vanZ	purH	unannotated											FM211187.178__FM211187.182
purH	Cluster_150	1	150	1	FM211187.182	vanZ__purH	purH__purD	CDS		purH		bifunctional purine biosynthesis protein PurH [includes: phosphoribosylaminoimidazolecarboxamide formyltransferase		bifunctional_purine_biosynthesis_protein_PurH_[inc	bifunctional purine biosynthesis protein PurH [includes: phosphoribosylaminoimidazolecarboxamide formyltransferase				FM211187.182
purH__purD	Cluster_151	1	151	1	FM211187.182__FM211187.185	purH	purD	unannotated											FM211187.182__FM211187.185
purD	Cluster_152	1	152	1	FM211187.185	purH__purD	purD__purE	CDS		purD		phosphoribosylamine-glycine ligase		phosphoribosylamine-glycine_ligase	phosphoribosylamine-glycine ligase				FM211187.185
purD__purE	Cluster_153	1	153	1	FM211187.185__FM211187.190	purD	purE	unannotated											FM211187.185__FM211187.190
purE	Cluster_154	1	154	1	FM211187.190	purD__purE	purK	CDS		purE		putative phosphoribosylaminoimidazole carboxylase catalytic subunit		phosphoribosylaminoimidazole_carboxylase_catalytic	putative phosphoribosylaminoimidazole carboxylase catalytic subunit				FM211187.190
purK	Cluster_155	1	155	1	FM211187.192	purE	purK__ATP/GTP_binding_protein	CDS		purK		putative phosphoribosylaminoimidazole carboxylase ATPase subunit		phosphoribosylaminoimidazole_carboxylase_ATPase_su	putative phosphoribosylaminoimidazole carboxylase ATPase subunit				FM211187.192
purK__ATP/GTP_binding_protein	Cluster_156	1	156	1	FM211187.192__FM211187.194	purK	ATP/GTP_binding_protein	unannotated											FM211187.192__FM211187.194
ATP/GTP_binding_protein	Cluster_157	1	157	1	FM211187.194	purK__ATP/GTP_binding_protein	ATP/GTP_binding_protein__purB	CDS				putative ATP/GTP binding protein		ATP/GTP_binding_protein	putative ATP/GTP binding protein				FM211187.194
ATP/GTP_binding_protein__purB	Cluster_158	1	158	1	FM211187.194__FM211187.196	ATP/GTP_binding_protein	purB	unannotated											FM211187.194__FM211187.196
purB	Cluster_159	1	159	1	FM211187.196	ATP/GTP_binding_protein__purB	purB__strH	CDS		purB		adenylosuccinate lyase		adenylosuccinate_lyase	adenylosuccinate lyase				FM211187.196
purB__strH	Cluster_160	1	160	1	FM211187.196__FM211187.199	purB	strH	unannotated											FM211187.196__FM211187.199
strH	Cluster_161	1	161	1	FM211187.199	GntR_family_regulatory_protein.1__strH	purB__strH	CDS		strH		beta-N-acetylhexosaminidase precursor (ec 3.2.1.52) (sortase-sorted)		beta-N-acetylhexosaminidase_precursor_ec_3.2.1.52_	beta-N-acetylhexosaminidase precursor (ec 3.2.1.52) (sortase-sorted)				FM211187.199
GntR_family_regulatory_protein.1__strH	Cluster_162	1	162	1	FM211187.199__FM211187.208	GntR_family_regulatory_protein.1	strH	unannotated											FM211187.199__FM211187.208
GntR_family_regulatory_protein.1	Cluster_163	1	163	1	FM211187.208	GntR_family_regulatory_protein.1__beta-galactosidase	GntR_family_regulatory_protein.1__strH	CDS				GntR family regulatory protein		GntR_family_regulatory_protein	GntR family regulatory protein				FM211187.208
GntR_family_regulatory_protein.1__beta-galactosidase	Cluster_164	1	164	1	FM211187.208__FM211187.211	GntR_family_regulatory_protein.1	beta-galactosidase	unannotated											FM211187.208__FM211187.211
beta-galactosidase	Cluster_165	1	165	1	FM211187.211	GntR_family_regulatory_protein.1__beta-galactosidase	sugar_phosphotransferase_system_PTS_sorbose_subfam	CDS				putative beta-galactosidase		beta-galactosidase	putative beta-galactosidase				FM211187.211
sugar_phosphotransferase_system_PTS_sorbose_subfam	Cluster_166	1	166	1	FM211187.213	beta-galactosidase	sugar_phosphotransferase_system_PTS_sorbose_subfam__sugar_phosphotransferase_system_PTSsorbose-specifi	CDS				sugar phosphotransferase system (PTS), sorbose subfamily, IIB component		sugar_phosphotransferase_system_PTS_sorbose_subfam	sugar phosphotransferase system (PTS), sorbose subfamily, IIB component				FM211187.213
sugar_phosphotransferase_system_PTS_sorbose_subfam__sugar_phosphotransferase_system_PTSsorbose-specifi	Cluster_167	1	167	1	FM211187.213__FM211187.215	sugar_phosphotransferase_system_PTS_sorbose_subfam	sugar_phosphotransferase_system_PTSsorbose-specifi	unannotated											FM211187.213__FM211187.215
sugar_phosphotransferase_system_PTSsorbose-specifi	Cluster_168	1	168	1	FM211187.215	sugar_phosphotransferase_system_PTS_sorbose_subfam__sugar_phosphotransferase_system_PTSsorbose-specifi	sugar_phosphotransferase_system_PTSmannose/fructos	CDS				sugar phosphotransferase system (PTS),sorbose-specific family, IIC component		sugar_phosphotransferase_system_PTSsorbose-specifi	sugar phosphotransferase system (PTS),sorbose-specific family, IIC component				FM211187.215
sugar_phosphotransferase_system_PTSmannose/fructos	Cluster_169	1	169	1	FM211187.218	sugar_phosphotransferase_system_PTSsorbose-specifi	sugar_phosphotransferase_system_PTSmannose/fructos__sugar_phosphotransferase_system_PTS_fructose_famil.1	CDS				sugar phosphotransferase system (PTS),mannose/fructose/sorbose family, IID component		sugar_phosphotransferase_system_PTSmannose/fructos	sugar phosphotransferase system (PTS),mannose/fructose/sorbose family, IID component				FM211187.218
sugar_phosphotransferase_system_PTSmannose/fructos__sugar_phosphotransferase_system_PTS_fructose_famil.1	Cluster_170	1	170	1	FM211187.218__FM211187.221	sugar_phosphotransferase_system_PTSmannose/fructos	sugar_phosphotransferase_system_PTS_fructose_famil.1	unannotated											FM211187.218__FM211187.221
sugar_phosphotransferase_system_PTS_fructose_famil.1	Cluster_171	1	171	1	FM211187.221	sugar_phosphotransferase_system_PTSmannose/fructos__sugar_phosphotransferase_system_PTS_fructose_famil.1	Cluster_172	CDS				sugar phosphotransferase system (PTS), fructose family, IIA component		sugar_phosphotransferase_system_PTS_fructose_famil	sugar phosphotransferase system (PTS), fructose family, IIA component				FM211187.221
Cluster_172	Cluster_172	1	172	1	FM211187.223	sugar_phosphotransferase_system_PTS_fructose_famil.1	Cluster_172__Cluster_174	repeat_region											FM211187.223
Cluster_172__Cluster_174	Cluster_173	1	173	1	FM211187.223__FM211187.224	Cluster_172	Cluster_174	unannotated											FM211187.223__FM211187.224
Cluster_174	Cluster_174	1	174	1	FM211187.224	Cluster_172__Cluster_174	Cluster_174__agaS	repeat_region											FM211187.224
Cluster_174__agaS	Cluster_175	1	175	1	FM211187.224__FM211187.225	Cluster_174	agaS	unannotated											FM211187.224__FM211187.225
agaS	Cluster_176	1	176	1	FM211187.225	Cluster_174__agaS	agaS__aldose_1-epimerase	CDS		agaS		putative tagatose-6-phosphate aldose/ketose isomerase		tagatose-6-phosphate_aldose/ketose_isomerase	putative tagatose-6-phosphate aldose/ketose isomerase				FM211187.225
agaS__aldose_1-epimerase	Cluster_177	1	177	1	FM211187.225__FM211187.228	agaS	aldose_1-epimerase	unannotated											FM211187.225__FM211187.228
aldose_1-epimerase	Cluster_178	1	178	1	FM211187.228	agaS__aldose_1-epimerase	aldose_1-epimerase__Cluster_180	CDS				putative aldose 1-epimerase		aldose_1-epimerase	putative aldose 1-epimerase				FM211187.228
aldose_1-epimerase__Cluster_180	Cluster_179	1	179	1	FM211187.228__FM211187.231	aldose_1-epimerase	Cluster_180	unannotated											FM211187.228__FM211187.231
Cluster_180	Cluster_180	1	180	1	FM211187.231	aldose_1-epimerase__Cluster_180	Cluster_180__glyoxalase/bleomycin_resistance_protein/dioxygenas	repeat_region											FM211187.231
Cluster_180__glyoxalase/bleomycin_resistance_protein/dioxygenas	Cluster_181	1	181	1	FM211187.231__FM211187.232	Cluster_180	glyoxalase/bleomycin_resistance_protein/dioxygenas	unannotated											FM211187.231__FM211187.232
glyoxalase/bleomycin_resistance_protein/dioxygenas	Cluster_182	1	182	1	FM211187.232	Cluster_180__glyoxalase/bleomycin_resistance_protein/dioxygenas	glyoxalase/bleomycin_resistance_protein/dioxygenas__conserved_protein.4	CDS				glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein		glyoxalase/bleomycin_resistance_protein/dioxygenas	glyoxalase/bleomycin resistance protein/dioxygenase superfamily protein				FM211187.232
glyoxalase/bleomycin_resistance_protein/dioxygenas__conserved_protein.4	Cluster_183	1	183	1	FM211187.232__FM211187.236	glyoxalase/bleomycin_resistance_protein/dioxygenas	conserved_protein.4	unannotated											FM211187.232__FM211187.236
conserved_protein.4	Cluster_184	1	184	1	FM211187.236	glyoxalase/bleomycin_resistance_protein/dioxygenas__conserved_protein.4	conserved_protein.4__uncharacterized_protein.6	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.236
conserved_protein.4__uncharacterized_protein.6	Cluster_185	1	185	1	FM211187.236__FM211187.238	conserved_protein.4	uncharacterized_protein.6	unannotated											FM211187.236__FM211187.238
uncharacterized_protein.6	Cluster_186	1	186	1	FM211187.238	Cluster_187	conserved_protein.4__uncharacterized_protein.6	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.238
Cluster_187	Cluster_187	1	187	1	FM211187.239	uncharacterized_protein.6	Cluster_188	repeat_region											FM211187.239
Cluster_188	Cluster_188	1	188	1	FM211187.240	Cluster_187	Cluster_189	repeat_region											FM211187.240
Cluster_189	Cluster_189	1	189	1	FM211187.241	Cluster_188	Cluster_190	repeat_region											FM211187.241
Cluster_190	Cluster_190	1	190	1	FM211187.242	Cluster_189	Cluster_190__conserved_protein.5	repeat_region											FM211187.242
Cluster_190__conserved_protein.5	Cluster_191	1	191	1	FM211187.242__FM211187.243	Cluster_190	conserved_protein.5	unannotated											FM211187.242__FM211187.243
conserved_protein.5	Cluster_192	1	192	1	FM211187.243	gene_fragment	Cluster_190__conserved_protein.5	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.243
gene_fragment	Cluster_193	1	193	1	FM211187.245	gene_fragment__phosphorylase_family_protein	conserved_protein.5	CDS				putative gene fragment		gene_fragment	putative gene fragment				FM211187.245
gene_fragment__phosphorylase_family_protein	Cluster_194	1	194	1	FM211187.245__FM211187.246	gene_fragment	phosphorylase_family_protein	unannotated											FM211187.245__FM211187.246
phosphorylase_family_protein	Cluster_195	1	195	1	FM211187.246	gene_fragment__phosphorylase_family_protein	phosphorylase_family_protein__Cluster_197	CDS				phosphorylase family protein		phosphorylase_family_protein	phosphorylase family protein				FM211187.246
phosphorylase_family_protein__Cluster_197	Cluster_196	1	196	1	FM211187.246__FM211187.248	phosphorylase_family_protein	Cluster_197	unannotated											FM211187.246__FM211187.248
Cluster_197	Cluster_197	1	197	1	FM211187.248	phosphorylase_family_protein__Cluster_197	Cluster_197__Cluster_199	repeat_region											FM211187.248
Cluster_197__Cluster_199	Cluster_198	1	198	1	FM211187.248__FM211187.249	Cluster_197	Cluster_199	unannotated											FM211187.248__FM211187.249
Cluster_199	Cluster_199	1	199	1	FM211187.249	Cluster_197__Cluster_199	Cluster_199__Cluster_201	repeat_region											FM211187.249
Cluster_199__Cluster_201	Cluster_200	1	200	1	FM211187.249__FM211187.250	Cluster_199	Cluster_201	unannotated											FM211187.249__FM211187.250
Cluster_201	Cluster_201	1	201	1	FM211187.250	Cluster_199__Cluster_201	uncharacterized_protein.7	repeat_region											FM211187.250
uncharacterized_protein.7	Cluster_202	1	202	1	FM211187.251	Cluster_201	Cluster_203	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.251
Cluster_203	Cluster_203	1	203	1	FM211187.252	uncharacterized_protein.7	Cluster_204	repeat_region											FM211187.252
Cluster_204	Cluster_204	1	204	1	FM211187.253	Cluster_203	Cluster_205	repeat_region											FM211187.253
Cluster_205	Cluster_205	1	205	1	FM211187.254	Cluster_204	Cluster_205__TrkH-family_cation_transport_protein	repeat_region											FM211187.254
Cluster_205__TrkH-family_cation_transport_protein	Cluster_206	1	206	1	FM211187.254__FM211187.255	Cluster_205	TrkH-family_cation_transport_protein	unannotated											FM211187.254__FM211187.255
TrkH-family_cation_transport_protein	Cluster_207	1	207	1	FM211187.255	Cluster_205__TrkH-family_cation_transport_protein	TrkH-family_cation_transport_protein__TrkA_family_cation_transport_protein	CDS				TrkH-family cation transport protein		TrkH-family_cation_transport_protein	TrkH-family cation transport protein				FM211187.255
TrkH-family_cation_transport_protein__TrkA_family_cation_transport_protein	Cluster_208	1	208	1	FM211187.255__FM211187.259	TrkH-family_cation_transport_protein	TrkA_family_cation_transport_protein	unannotated											FM211187.255__FM211187.259
TrkA_family_cation_transport_protein	Cluster_209	1	209	1	FM211187.259	TrkH-family_cation_transport_protein__TrkA_family_cation_transport_protein	TrkA_family_cation_transport_protein__Cluster_211	CDS				TrkA family cation transport protein		TrkA_family_cation_transport_protein	TrkA family cation transport protein				FM211187.259
TrkA_family_cation_transport_protein__Cluster_211	Cluster_210	1	210	1	FM211187.259__FM211187.262	TrkA_family_cation_transport_protein	Cluster_211	unannotated											FM211187.259__FM211187.262
Cluster_211	Cluster_211	1	211	1	FM211187.262	uncharacterized_protein.8	TrkA_family_cation_transport_protein__Cluster_211	repeat_region											FM211187.262
uncharacterized_protein.8	Cluster_212	1	212	1	FM211187.263	Cluster_211	Cluster_213	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.263
Cluster_213	Cluster_213	1	213	1	FM211187.264	Cluster_214	uncharacterized_protein.8	repeat_region											FM211187.264
Cluster_214	Cluster_214	1	214	1	FM211187.265	Cluster_215	Cluster_213	repeat_region											FM211187.265
Cluster_215	Cluster_215	1	215	1	FM211187.266	Cluster_215__glycosyl_transferase_pseudogene.1	Cluster_214	repeat_region											FM211187.266
Cluster_215__glycosyl_transferase_pseudogene.1	Cluster_216	1	216	1	FM211187.266__FM211187.267	Cluster_215	glycosyl_transferase_pseudogene.1	unannotated											FM211187.266__FM211187.267
glycosyl_transferase_pseudogene.1	Cluster_217	1	217	1	FM211187.267	Cluster_215__glycosyl_transferase_pseudogene.1	glycosyl_transferase_pseudogene.1__cell_wall_surface_anchor_family_protein_pseudogene	CDS				putative glycosyl transferase (pseudogene)		glycosyl_transferase_pseudogene	putative glycosyl transferase (pseudogene)				FM211187.267
glycosyl_transferase_pseudogene.1__cell_wall_surface_anchor_family_protein_pseudogene	Cluster_218	1	218	1	FM211187.267__FM211187.269	glycosyl_transferase_pseudogene.1	cell_wall_surface_anchor_family_protein_pseudogene	unannotated											FM211187.267__FM211187.269
cell_wall_surface_anchor_family_protein_pseudogene	Cluster_219	1	219	1	FM211187.269	glycosyl_transferase_pseudogene.1__cell_wall_surface_anchor_family_protein_pseudogene	cell_wall_surface_anchor_family_protein_pseudogene__response_regulator_protein.1	CDS				cell wall surface anchor family protein (pseudogene)		cell_wall_surface_anchor_family_protein_pseudogene	cell wall surface anchor family protein (pseudogene)				FM211187.269
cell_wall_surface_anchor_family_protein_pseudogene__response_regulator_protein.1	Cluster_220	1	220	1	FM211187.269__FM211187.273	cell_wall_surface_anchor_family_protein_pseudogene	response_regulator_protein.1	unannotated											FM211187.269__FM211187.273
response_regulator_protein.1	Cluster_221	1	221	1	FM211187.273	cell_wall_surface_anchor_family_protein_pseudogene__response_regulator_protein.1	histidine_kinase_protein	CDS				response regulator protein		response_regulator_protein	response regulator protein				FM211187.273
histidine_kinase_protein	Cluster_222	1	222	1	FM211187.276	response_regulator_protein.1	histidine_kinase_protein__rpsD	CDS				histidine kinase protein		histidine_kinase_protein	histidine kinase protein				FM211187.276
histidine_kinase_protein__rpsD	Cluster_223	1	223	1	FM211187.276__FM211187.282	histidine_kinase_protein	rpsD	unannotated											FM211187.276__FM211187.282
